variable;distribution;lower;median;upper;unit;description;timestep;Erledigt
other_insects_risk_tp4_harvest;tnorm_0_1;0.8;NA;0.9;%/100;;4;
other_physiological_disorders_damage_leaf_fertilization_tp3_tp4;tnorm_0_1;0.03;NA;0.12;%/100;;3;
other_physiological_disorders_damage_leaf_fertilization_tp4_harvest;tnorm_0_1;0.03;NA;0.12;%/100;;4;
other_physiological_disorders_damage_tp3_tp4;tnorm_0_1;0.05;NA;0.2;%/100;;3;
other_physiological_disorders_damage_tp4_harvest;tnorm_0_1;0.05;NA;0.2;%/100;;4;
other_physiological_disorders_risk_leaf_fertilization_tp3_tp4;tnorm_0_1;0.03;NA;0.55;%/100;;3;
other_physiological_disorders_risk_leaf_fertilization_tp4_harvest;tnorm_0_1;0.03;NA;0.55;%/100;;4;
other_physiological_disorders_risk_tp3_tp4;tnorm_0_1;0.03;NA;0.77;%/100;;3;
other_physiological_disorders_risk_tp4_harvest;tnorm_0_1;0.03;NA;0.77;%/100;;4;
percentage_diameter_increase_tp4_harvest;posnorm;0.05;NA;0.15;%/100;currently not used;;
percentage_frost_damage;tnorm_0_1;0.25;NA;0.8;%/100;Daten Frostschutzmodell;1;
percentage_of_hail_damaged_falling;tnorm_0_1;0.1;NA;0.5;%/100;;2,3,4;
pre_harvest_fruit_drop_natural;tnorm_0_1;0.4;NA;0.8;%/100;;4;
pre_harvest_fruit_drop_spraying;tnorm_0_1;0.05;NA;0.2;%/100;Use of sprays to reduce pre-harvest fruit drop e.g. NAA;4;
quality_reduce_frost_tp1_tp2;tnorm_0_1;0.05;NA;0.2;%/100;;1;a
quality_reduce_insects_tp1_tp2;tnorm_0_1;0.05;NA;0.2;%/100;;1;
risk_bad_seed_structure;tnorm_0_1;0.01;NA;0.2;%/100;Expertenschätzung;2;x
risk_insect_damage_tp1_tp2;tnorm_0_1;0.2;NA;0.4;%/100;;1;
risk_of_storm_pre_harvest_tp_4;tnorm_0_1;0.1;NA;0.5;%/100;;4;
risk_stress_and_supply_influence_irrigation_tp2_tp3;tnorm_0_1;0.02;NA;0.1;%/100;von drought;2;
risk_stress_and_supply_influence_tp2_tp3;tnorm_0_1;0.15;NA;0.25;%/100;von drought;2;
